RKP;4;4;2
Liike Nyt;4;4;4
Vihreät;5;2;4
Vihreät;5;2;4
Piraattipuolue;4;5;4
Perussuomalaiset;2;5;1
Suomen Kommunistinen Puolue;5;1;1
Liike Nyt;5;2;4
Suomen Kansa Ensin;2;5;1
Seitsemän tähden liike;4;4;4
Kristillisdemokraatit;5;4;4
Keskusta;4;4;5
Liike Nyt;5;4;2
Perussuomalaiset;1;5;1
Kokoomus;4;4;4
Vasemmistoliitto;5;4;1
Vihreät;5;1;5
Piraattipuolue;5;2;5
Seitsemän tähden liike;2;5;2
SDP;2;5;2
SDP;5;1;4
SDP;2;4;2
SDP;2;5;2
SDP;5;4;4
SDP;4;5;4
Keskusta;4;4;2
RKP;4;4;4
RKP;4;4;2
RKP;5;2;2
RKP;4;5;1
RKP;5;4;1
RKP;5;2;4
RKP;4;5;4
RKP;4;5;2
SDP;4;2;4
Keskusta;2;4;2
Keskusta;5;4;2
Keskusta;4;5;1
Piraattipuolue;-;-;-
Vasemmistoliitto;4;4;4
Keskusta;2;5;1
Keskusta;4;5;1
Keskusta;5;5;1
Keskusta;4;4;2
Keskusta;5;5;1
Keskusta;4;4;2
Perussuomalaiset;1;4;1
Perussuomalaiset;1;5;1
Perussuomalaiset;1;5;1
Itsenäisyyspuolue;5;2;2
Itsenäisyyspuolue;1;4;1
Itsenäisyyspuolue;5;5;1
Itsenäisyyspuolue;-;-;-
Itsenäisyyspuolue;-;-;-
Itsenäisyyspuolue;4;4;2
Itsenäisyyspuolue;-;-;-
Feministinen puolue;5;1;5
Kokoomus;5;2;4
Kokoomus;4;4;2
Vihreät;5;2;2
Vihreät;5;1;5
Vihreät;5;1;5
Vihreät;5;1;5
Vihreät;5;1;5
Vasemmistoliitto;5;4;2
Suomen Kommunistinen Puolue;5;5;4
Vihreät;4;2;4
Vihreät;5;1;5
Piraattipuolue;4;5;4
Piraattipuolue;4;5;4
Piraattipuolue;5;4;1
Piraattipuolue;4;5;4
Vasemmistoliitto;5;2;4
Piraattipuolue;2;4;2
Piraattipuolue;5;2;5
Seitsemän tähden liike;1;5;2
Seitsemän tähden liike;2;5;4
Vasemmistoliitto;5;1;5
Vasemmistoliitto;5;4;4
RKP;4;5;1
Seitsemän tähden liike;-;-;-
Liike Nyt;4;5;2
Liike Nyt;2;5;1
SDP;4;2;2
SDP;5;4;4
SDP;4;4;2
SDP;4;2;2
SDP;2;5;1
SDP;4;4;2
RKP;4;4;2
Liike Nyt;4;4;4
Perussuomalaiset;1;5;1
Perussuomalaiset;2;5;1
Perussuomalaiset;1;5;1
Perussuomalaiset;1;5;1
Perussuomalaiset;2;5;
Perussuomalaiset;-;-;-
Vihreät;5;2;5
Seitsemän tähden liike;2;5;2
Liike Nyt;5;5;4
Kristillisdemokraatit;2;5;2
Kristillisdemokraatit;2;5;2
Kokoomus;4;2;4
Sininen tulevaisuus;-;-;-
Kokoomus;1;5;1
Itsenäisyyspuolue;1;5;1
Itsenäisyyspuolue;5;4;1
Kokoomus;4;5;1
Liike Nyt;4;4;2
RKP;4;4;1
Liike Nyt;4;4;2
Kommunistinen Työväenpuolue;2;5;1
Keskusta;4;5;2
Kokoomus;4;5;1
Kokoomus;5;4;4
Eläinoikeuspuolue;5;1;5
Kokoomus;4;5;2
Kokoomus;4;5;1
Seitsemän tähden liike;2;4;2
Feministinen puolue;5;1;5
Kokoomus;4;5;1
Kokoomus;5;4;4
Vihreät;4;4;4
Vihreät;5;1;5
Vasemmistoliitto;5;1;5
Kokoomus;5;4;4
Feministinen puolue;5;2;5
Kokoomus;2;5;1
Vasemmistoliitto;5;2;5
Vasemmistoliitto;5;1;5
Vasemmistoliitto;4;4;1
Vihreät;5;1;5
Sitoutumaton;1;5;1
RKP;5;2;5
Vasemmistoliitto;5;1;5
Kokoomus;5;4;5
Liberaalipuolue;5;5;4
Suomen Kommunistinen Puolue;4;4;4
Suomen Kommunistinen Puolue;4;4;2
Suomen Kommunistinen Puolue;-;-;-
Suomen Kommunistinen Puolue;-;-;-
Suomen Kommunistinen Puolue;2;4;1
Vasemmistoliitto;5;2;4
Suomen Kommunistinen Puolue;4;4;1
Suomen Kommunistinen Puolue;-;-;-
Seitsemän tähden liike;2;5;2
Vasemmistoliitto;5;4;5
Vihreät;5;2;4
Keskusta;4;5;1
Suomen Kansa Ensin;1;5;1
Kokoomus;4;5;1
Vihreät;5;1;5
Vasemmistoliitto;4;4;2
Vasemmistoliitto;5;2;5
Suomen Kommunistinen Puolue;2;2;2
Vihreät;5;1;5
Seitsemän tähden liike;2;5;2
RKP;5;1;4
SDP;4;2;2
Sininen tulevaisuus;4;5;1
Keskusta;2;4;2
RKP;2;5;1
Sininen tulevaisuus;4;5;1
Sininen tulevaisuus;4;4;1
Sininen tulevaisuus;-;-;-
Sininen tulevaisuus;2;5;1
Sininen tulevaisuus;1;5;1
Sininen tulevaisuus;1;5;1
Perussuomalaiset;1;5;1
Perussuomalaiset;2;5;2
Perussuomalaiset;2;5;1
Sininen tulevaisuus;4;2;2
Perussuomalaiset;1;5;1
Eläinoikeuspuolue;5;1;5
Eläinoikeuspuolue;5;2;5
Kokoomus;4;4;2
Vihreät;5;5;1
Seitsemän tähden liike;1;5;1
Vasemmistoliitto;5;2;5
Keskusta;4;5;1
Perussuomalaiset;1;5;1
Eläinoikeuspuolue;5;1;5
Suomen Kommunistinen Puolue;5;;4
Vihreät;5;2;5
Kristillisdemokraatit;2;5;1
